title,link,views,date
"""They Must've Forgot""",https://www.youtube.com/watch?v=_4dqiOj_YF0,110477,"Oct 19, 2019"
I Almost Choked,https://www.youtube.com/watch?v=kNy8iMdvPjY,121302,"Oct 12, 2019"
Did I Wintrade Pummel Party?,https://www.youtube.com/watch?v=67o8CqLfKdg,88444,"Oct 7, 2019"
Trick2g Best of September,https://www.youtube.com/watch?v=HeSYfvoDrgk,182482,"Oct 6, 2019"
"Twitch Rivals Ft. Yassuo, BoxBox, Pokimane, & Saber",https://www.youtube.com/watch?v=B-XIcaB76BQ,221876,"Sep 29, 2019"
Pummel Party Is BACK! (#2),https://www.youtube.com/watch?v=OddfVa607LM,82440,"Sep 27, 2019"
Weekly Best of Trick2g (#1),https://www.youtube.com/watch?v=9bxPZotWZMo,102036,"Sep 19, 2019"
Best of Subwars,https://www.youtube.com/watch?v=VjosT8soyJ8,72198,"Sep 7, 2019"
Best Of August [Unseen Footage] - Trick2g,https://www.youtube.com/watch?v=IiYU-oxQOQw,128566,"Sep 2, 2019"
Golfing With Trick2g | Day in the Life #3,https://www.youtube.com/watch?v=pBRBY-mF9qU,38206,"Aug 24, 2019"
Learning to Cook with Trick2g,https://www.youtube.com/watch?v=164lzmz7RFo,56733,"Aug 10, 2019"
Best of July [Unseen Footage] - Trick2g,https://www.youtube.com/watch?v=079iwkdaVQ4,108694,"Aug 8, 2019"
I Won with 100HP! (TFT) - Trick2G,https://www.youtube.com/watch?v=_EXR9OiYchA,125949,"Aug 5, 2019"
Assassin Volibear Can NOT be Stopped! - Trick2G,https://www.youtube.com/watch?v=OFdi4rUzxTU,117417,"Jul 30, 2019"
Meal Prepping Made Easy with Trick2g,https://www.youtube.com/watch?v=89G5J75RtFo,60125,"Jul 26, 2019"
Demon Volibear is Actually BROKEN - Trick2G,https://www.youtube.com/watch?v=ie7dyddLjYY,153189,"Jul 24, 2019"
Made My ⭐⭐ Draven a KNIGHT... NASTY! - Trick2G,https://www.youtube.com/watch?v=rKlVg6VOYyc,130741,"Jul 21, 2019"
